business_name,category,city,address,phone,source
Ital Uil Usa,"Italian Restaurants, Mediterranean Restaurants, Restaurants",Revere,199 Revere St,(781) 284-6425,YellowPages
Sbarro,"Pizza, Italian Restaurants, Family Style Restaurants, Restaurants, Fast Food Restaurants",Watertown,455 Arsenal St,(617) 926-9372,YellowPages
Helens Roastbeef Pizzeria,"Italian Restaurants, Pizza, American Restaurants, Steak Houses, Sandwich Shops, Restaurants",Medford,321A Boston Ave,(781) 395-9097,YellowPages
West Napoli Cafe,"Pizza, Italian Restaurants, Sandwich Shops, Restaurants",West Roxbury,1946 Centre St,(617) 325-7909,YellowPages
Uno Chicago Grill,"Restaurants, Pizza, Bar & Grills, Take Out Restaurants, Italian Restaurants",Newton,287 Washington St,(617) 964-7663,YellowPages
Arlington House Of Pizza,"Pizza, Italian Restaurants, Restaurants",Arlington,797 Massachusetts Ave,(781) 646-5016,YellowPages
Letterie's Italian Market,"Italian Restaurants, Delicatessens, Mediterranean Restaurants, Restaurants",Winthrop,67 Woodside Ave,(617) 846-0351,YellowPages
Aragosta Bar and Bistro,Italian Restaurants,Boston,3 Battery Wharf,(617) 994-9036,YellowPages
Andrea's House Of Pizza,"Pizza, Convenience Stores, Delicatessens, American Restaurants, Sandwich Shops, Italian Restaurants, Restaurants",Stoneham,498 Main St,(781) 438-9115,YellowPages
My Brothers Place,"Pizza, American Restaurants, Sandwich Shops, Italian Restaurants, Restaurants",Arlington,181 Broadway,(781) 646-0110,YellowPages
Uno Chicago Grill,"Pizza, Bar & Grills, Restaurants, Italian Restaurants, Take Out Restaurants",Dedham,270 Providence Hwy,(781) 320-0356,YellowPages
Bertucci's,"Italian Restaurants, Restaurants, Pizza",Newton,275 Centre St,(617) 244-4900,YellowPages
Victor's Italian Restaurant,"Italian Restaurants, Mediterranean Restaurants, Restaurants",Saugus,560 Lincoln Ave,(781) 231-0532,YellowPages
Trattoria Pulcinella,"Italian Restaurants, Mediterranean Restaurants, Restaurants",Cambridge,147 Huron Ave,(617) 491-6336,YellowPages
Christos Pizza,"Pizza, Italian Restaurants, Greek Restaurants, American Restaurants, Sandwich Shops, Restaurants",West Roxbury,1761 Centre St,(617) 327-9047,YellowPages
Casa Mia Restaurant,"Family Style Restaurants, Italian Restaurants, Mexican Restaurants, Latin American Restaurants, Restaurants",Melrose,399 Main St,(781) 662-6777,YellowPages
Pat's Pizza,"Pizza, Sandwich Shops, Italian Restaurants, Restaurants",Dorchester Center,2254 Dorchester Ave,(617) 298-9625,YellowPages
Alfredo's Restaurant,"American Restaurants, Italian Restaurants, Mediterranean Restaurants, Family Style Restaurants, Pizza, Sandwich Shops, Restaurants",Allston,229 Brighton Ave,(617) 562-8222,YellowPages
Pranzi's,"Pizza, Italian Restaurants, Restaurants",Medford,186 Winthrop St,(781) 395-5005,YellowPages
Carmalenos Pushcart Rest,"Family Style Restaurants, Italian Restaurants, Mediterranean Restaurants, Restaurants",Saugus,331 Main St,(781) 233-7200,YellowPages
Lilly's Gourmet Pasta Express,"Italian Restaurants, Fine Dining Restaurants, Mediterranean Restaurants, Restaurants",Allston,172 Brighton Ave,(617) 783-8787,YellowPages
Umbria Prime,"Italian Restaurants, Bars, Cocktail Lounges, Fine Dining Restaurants, Steak Houses, Seafood Restaurants, Bar & Grills, Mediterranean Restaurants, Taverns, American Restaurants, Restaurants",Boston,295 Franklin St,(617) 892-4254,YellowPages
Same Old Place,"Pizza, Italian Restaurants, American Restaurants, Sandwich Shops, Restaurants",Jamaica Plain,662 Centre St,(617) 524-9461,YellowPages
Tu Casa Restaurant,"Family Style Restaurants, Italian Restaurants, Mexican Restaurants, Latin American Restaurants, Restaurants",Chelsea,403 Broadway,(617) 887-0888,YellowPages
Armando's Pizza,"Pizza, Delicatessens, Italian Restaurants, Caterers, Restaurants",Cambridge,163 Huron Ave,(617) 354-8275,YellowPages
Olivio Ristorante,"Italian Restaurants, Family Style Restaurants, Mediterranean Restaurants, Restaurants",Arlington,201 Massachusetts Ave,(781) 648-2300,YellowPages
Crazy Dough Pizza,"Pizza, American Restaurants, Sandwich Shops, Italian Restaurants, Restaurants",Brighton,2201 Commonwealth Ave,(617) 202-5769,YellowPages
I Chef,"Italian Restaurants, Pizza, Mediterranean Restaurants, Restaurants",Arlington,1345 Massachusetts Ave,(781) 483-3456,YellowPages
Lisa's Family Pizzeria,"American Restaurants, Pizza, Italian Restaurants, Mediterranean Restaurants, Chicken Restaurants, Sandwich Shops, Restaurants",Melrose,45 W Wyoming Ave,(781) 665-0233,YellowPages
Papa's Bar & Grille,"Bar & Grills, Italian Restaurants, Restaurants",Malden,210 Highland Ave,(781) 322-0105,YellowPages
Salute Bar & Grill,"Italian Restaurants, Bars, Mediterranean Restaurants, Taverns, Restaurants",Roslindale,4257 Washington St,(617) 325-1000,YellowPages
Sophia's Grotto,"Italian Restaurants, Mediterranean Restaurants, Spanish Restaurants, Bar & Grills, Family Style Restaurants, Restaurants",Roslindale,22 Birch St,(617) 323-4595,YellowPages
Zesto's Pizza And Grille,"Pizza, Bar & Grills, Italian Restaurants, Restaurants",Jamaica Plain,460 Centre St,(617) 524-2004,YellowPages
